NAME,TYPE,SUBTYPE,CR,SOURCE,LINK
The Demogorgon,Giant,,8,IMR,https://5e.tools/bestiary.html#the%20demogorgon_imr
Aarakocra,Humanoid,aarakocra,1/4,MM,https://5e.tools/bestiary.html#aarakocra_mm
Aarakocra Simulacra,Humanoid,aarakocra,1/8,SKT,https://5e.tools/bestiary.html#aarakocra%20simulacra_skt
Aberrant Spirit,Aberration,,—,TCE,https://5e.tools/bestiary.html#aberrant%20spirit_tce
Aberrant Spirit,Aberration,,—,UA20SMT,https://5e.tools/bestiary.html#aberrant%20spirit_ua20smt
Abhorrent Overlord,Fiend,,9,MOT,https://5e.tools/bestiary.html#abhorrent%20overlord_mot
Abjurer,Humanoid,any race,9,VGM,https://5e.tools/bestiary.html#abjurer_vgm
Aboleth,Aberration,,10,MM,https://5e.tools/bestiary.html#aboleth_mm
Abominable Yeti,Monstrosity,,9,MM,https://5e.tools/bestiary.html#abominable%20yeti_mm
Abyssal Chicken,Fiend,demon,1/4,BGDIA,https://5e.tools/bestiary.html#abyssal%20chicken_bgdia
Abyssal Wretch,Fiend,demon,1/4,MTF,https://5e.tools/bestiary.html#abyssal%20wretch_mtf
Acererak,Undead,,23,ToA,https://5e.tools/bestiary.html#acererak_toa
Acolyte,Humanoid,any race,1/4,MM,https://5e.tools/bestiary.html#acolyte_mm
Adult Amonkhet Dragon,Dragon,,17,PSA,https://5e.tools/bestiary.html#adult%20amonkhet%20dragon_psa
Adult Black Dragon,Dragon,,14,MM,https://5e.tools/bestiary.html#adult%20black%20dragon_mm
Adult Blue Dracolich,Undead,,17,MM,https://5e.tools/bestiary.html#adult%20blue%20dracolich_mm
Adult Blue Dragon,Dragon,,16,MM,https://5e.tools/bestiary.html#adult%20blue%20dragon_mm
Adult Brass Dragon,Dragon,,13,MM,https://5e.tools/bestiary.html#adult%20brass%20dragon_mm
Adult Bronze Dragon,Dragon,,15,MM,https://5e.tools/bestiary.html#adult%20bronze%20dragon_mm
Adult Copper Dragon,Dragon,,14,MM,https://5e.tools/bestiary.html#adult%20copper%20dragon_mm
Adult Gold Dragon,Dragon,,17,MM,https://5e.tools/bestiary.html#adult%20gold%20dragon_mm
Adult Green Dragon,Dragon,,15,MM,https://5e.tools/bestiary.html#adult%20green%20dragon_mm
Adult Kruthik,Monstrosity,,2,MTF,https://5e.tools/bestiary.html#adult%20kruthik_mtf
Adult Oblex,Ooze,,5,MTF,https://5e.tools/bestiary.html#adult%20oblex_mtf
