NAME,TYPE,WEIGHT,ATTUNEMENT,RARITY,SOURCE,LINK
 +1 All-Purpose Tool,Wondrous Item,—,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20all-purpose%20tool_tce
 +1 Ammunition,"Ammunition, Generic Variant",—,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20ammunition_dmg
 +1 Amulet of the Devout,Wondrous Item,1 lb.,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20amulet%20of%20the%20devout_tce
 +1 Antimatter Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",10 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20antimatter%20rifle_dmg
 +1 Arcane Grimoire,Wondrous Item,3 lb.,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20arcane%20grimoire_tce
 +1 Armor,Generic Variant,—,N,Rare,DMG,https://5e.tools/items.html#%2b1%20armor_dmg
 +1 Arrow,Ammunition,0.8 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20arrow_dmg
 +1 Automatic Pistol,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20automatic%20pistol_dmg
 +1 Automatic Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20automatic%20rifle_dmg
 +1 Battleaxe,"Martial Weapon, Melee Weapon",4 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20battleaxe_dmg
 +1 Bloodwell Vial,Wondrous Item,0.16 oz.,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20bloodwell%20vial_tce
 +1 Blowgun,"Martial Weapon, Ranged Weapon",1 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20blowgun_dmg
 +1 Blowgun Needle,Ammunition,0.32 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20blowgun%20needle_dmg
 +1 Breastplate,Medium Armor,20 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20breastplate_dmg
 +1 Chain Mail,Heavy Armor,55 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20chain%20mail_dmg
 +1 Chain Shirt,Medium Armor,20 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20chain%20shirt_dmg
 +1 Club,"Simple Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20club_dmg
 +1 Crossbow Bolt,Ammunition,1.2 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20crossbow%20bolt_dmg
 +1 Dagger,"Simple Weapon, Melee Weapon",1 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20dagger_dmg
 +1 Dart,"Simple Weapon, Ranged Weapon",¼ lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20dart_dmg
 +1 Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20double-bladed%20scimitar_dmg
 +1 Energy Cell,"Futuristic, Ammunition",5 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20energy%20cell_dmg
 +1 Flail,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20flail_dmg
 +1 Glaive,"Martial Weapon, Melee Weapon",6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20glaive_dmg
 +1 Greataxe,"Martial Weapon, Melee Weapon",7 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20greataxe_dmg
 +1 Greatclub,"Simple Weapon, Melee Weapon",10 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20greatclub_dmg
 +1 Greatsword,"Martial Weapon, Melee Weapon",6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20greatsword_dmg
 +1 Halberd,"Martial Weapon, Melee Weapon",6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20halberd_dmg
 +1 Half Plate Armor,Medium Armor,40 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20half%20plate%20armor_dmg
 +1 Hand Crossbow,"Martial Weapon, Ranged Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20hand%20crossbow_dmg
 +1 Handaxe,"Simple Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20handaxe_dmg
 +1 Heavy Crossbow,"Martial Weapon, Ranged Weapon",18 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20heavy%20crossbow_dmg
 +1 Hide Armor,Medium Armor,12 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20hide%20armor_dmg
 +1 Hooked Shortspear,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20hooked%20shortspear_dmg
 +1 Hunting Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20hunting%20rifle_dmg
 +1 Javelin,"Simple Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20javelin_dmg
 +1 Lance,"Martial Weapon, Melee Weapon",6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20lance_dmg
 +1 Laser Pistol,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20laser%20pistol_dmg
 +1 Laser Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",7 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20laser%20rifle_dmg
 +1 Leather Armor,Light Armor,10 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20leather%20armor_dmg
 +1 Light Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20light%20crossbow_dmg
 +1 Light Hammer,"Simple Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20light%20hammer_dmg
 +1 Light Repeating Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20light%20repeating%20crossbow_dmg
 +1 Longbow,"Martial Weapon, Ranged Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20longbow_dmg
 +1 Longsword,"Martial Weapon, Melee Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20longsword_dmg
 +1 Mace,"Simple Weapon, Melee Weapon",4 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20mace_dmg
 +1 Maul,"Martial Weapon, Melee Weapon",10 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20maul_dmg
